Number,Description,Hash,OriginFile,LoadEpoch,LoadDatetime
150,"[{'Language': 'NL', 'Description': 'Stacaravan'}
 {'Language': 'NO', 'Description': 'Bobil'}
 {'Language': 'FR', 'Description': 'Mobile Home'}
 {'Language': 'DE', 'Description': 'Mobile Home'}
 {'Language': 'EN', 'Description': 'Mobile Home'}
 {'Language': 'SV', 'Description': 'Husbil'}
 {'Language': 'IT', 'Description': 'Mobile Home'}
 {'Language': 'ES', 'Description': 'Mobil Home'}
 {'Language': 'DA', 'Description': 'Mobile Home'}]",-8307608276996285809,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
160,"[{'Language': 'NL', 'Description': 'Appartement'}
 {'Language': 'NO', 'Description': 'Leilighet'}
 {'Language': 'FR', 'Description': 'Appartement'}
 {'Language': 'DE', 'Description': 'Ferienwohnung'}
 {'Language': 'EN', 'Description': 'Apartment'}
 {'Language': 'SV', 'Description': 'Lägenhet'}
 {'Language': 'IT', 'Description': 'Appartamento'}
 {'Language': 'ES', 'Description': 'Apartamento'}
 {'Language': 'DA', 'Description': 'Lejlighed'}]",6020227268758627528,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
170,"[{'Language': 'NL', 'Description': 'Grotwoning'}
 {'Language': 'NO', 'Description': 'Hus innebygget i fjell'}
 {'Language': 'FR', 'Description': 'Maison troglodyte'}
 {'Language': 'DE', 'Description': 'Höhlenwohnung'}
 {'Language': 'EN', 'Description': 'Cave house'}
 {'Language': 'SV', 'Description': 'Grotthus'}
 {'Language': 'IT', 'Description': 'Casa-grotta'}
 {'Language': 'ES', 'Description': 'Casa cueva'}
 {'Language': 'DA', 'Description': 'Hus bygget i bjerg'}]",7810800666568095801,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
172,"[{'Language': 'NL', 'Description': 'Molen'}
 {'Language': 'NO', 'Description': 'Mølle'}
 {'Language': 'FR', 'Description': 'Moulin'}
 {'Language': 'DE', 'Description': 'Mühle'}
 {'Language': 'EN', 'Description': 'Mill'}
 {'Language': 'SV', 'Description': 'Kvarn'}
 {'Language': 'IT', 'Description': 'Mulino'}
 {'Language': 'ES', 'Description': 'Molino'}
 {'Language': 'DA', 'Description': 'Mølle'}]",-854864826332113651,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
175,"[{'Language': 'NL', 'Description': 'Tent lodge'}
 {'Language': 'NO', 'Description': 'Teltbolig'}
 {'Language': 'FR', 'Description': 'Tente lodge'}
 {'Language': 'DE', 'Description': 'Zelt lodge'}
 {'Language': 'EN', 'Description': 'Tent lodge'}
 {'Language': 'SV', 'Description': 'Villatält'}
 {'Language': 'IT', 'Description': 'Tenda logde'}
 {'Language': 'ES', 'Description': 'Tienda lodge'}
 {'Language': 'DA', 'Description': 'Villatelt'}]",-2021318632160093069,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
180,"[{'Language': 'NL', 'Description': 'angler house'}
 {'Language': 'NO', 'Description': 'angler house'}
 {'Language': 'FR', 'Description': 'angler house'}
 {'Language': 'DE', 'Description': 'Anglerhaus'}
 {'Language': 'EN', 'Description': 'angler house'}
 {'Language': 'SV', 'Description': 'angler house'}
 {'Language': 'IT', 'Description': 'angler house'}
 {'Language': 'ES', 'Description': 'angler house'}
 {'Language': 'DA', 'Description': 'angler house'}]",-2102176537739782923,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
185,"[{'Language': 'NL', 'Description': 'manor'}
 {'Language': 'NO', 'Description': 'manor'}
 {'Language': 'FR', 'Description': 'manor'}
 {'Language': 'DE', 'Description': 'Herrenhaus'}
 {'Language': 'EN', 'Description': 'manor'}
 {'Language': 'SV', 'Description': 'manor'}
 {'Language': 'IT', 'Description': 'manor'}
 {'Language': 'ES', 'Description': 'manor'}
 {'Language': 'DA', 'Description': 'manor'}]",8747742816813320143,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
190,"[{'Language': 'NL', 'Description': 'Robinsion house'}
 {'Language': 'NO', 'Description': 'Robinsion house'}
 {'Language': 'FR', 'Description': 'Robinsion house'}
 {'Language': 'DE', 'Description': 'Robinsion Haus'}
 {'Language': 'EN', 'Description': 'Robinsion house'}
 {'Language': 'SV', 'Description': 'Robinsion house'}
 {'Language': 'IT', 'Description': 'Robinsion house'}
 {'Language': 'ES', 'Description': 'Robinsion house'}
 {'Language': 'DA', 'Description': 'Robinsion house'}]",-495182083750843625,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
195,"[{'Language': 'NL', 'Description': 'trullo house'}
 {'Language': 'NO', 'Description': 'trullo house'}
 {'Language': 'FR', 'Description': 'trullo house'}
 {'Language': 'DE', 'Description': 'Trullo-Haus'}
 {'Language': 'EN', 'Description': 'trullo house'}
 {'Language': 'SV', 'Description': 'trullo house'}
 {'Language': 'IT', 'Description': 'trullo house'}
 {'Language': 'ES', 'Description': 'trullo house'}
 {'Language': 'DA', 'Description': 'trullo house'}]",-2483986088027903813,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
210,"[{'Language': 'NL', 'Description': 'Vrijstaand'}
 {'Language': 'NO', 'Description': 'Enebolig'}
 {'Language': 'FR', 'Description': 'Indépendant(e)'}
 {'Language': 'DE', 'Description': 'freistehend'}
 {'Language': 'EN', 'Description': 'Detached'}
 {'Language': 'SV', 'Description': 'Fristående'}
 {'Language': 'IT', 'Description': 'Indipendente'}
 {'Language': 'ES', 'Description': 'Independiente'}
 {'Language': 'DA', 'Description': 'Ej sammenhængende'}]",7819548074772678310,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
220,"[{'Language': 'NL', 'Description': 'Niet vrijstaand'}
 {'Language': 'NO', 'Description': 'Ikke enebolig'}
 {'Language': 'FR', 'Description': 'Non indépendant(e)'}
 {'Language': 'DE', 'Description': 'Nicht freistehend'}
 {'Language': 'EN', 'Description': 'Not detached'}
 {'Language': 'SV', 'Description': 'Inte fristående'}
 {'Language': 'IT', 'Description': 'No indipendente'}
 {'Language': 'ES', 'Description': 'No independiente'}
 {'Language': 'DA', 'Description': 'Fritstående'}]",-5589654074338199148,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
230,"[{'Language': 'NL', 'Description': 'semi detached'}
 {'Language': 'NO', 'Description': 'semi detached'}
 {'Language': 'FR', 'Description': 'semi detached'}
 {'Language': 'DE', 'Description': 'Doppelhaushälfte'}
 {'Language': 'EN', 'Description': 'semi detached'}
 {'Language': 'SV', 'Description': 'semi detached'}
 {'Language': 'IT', 'Description': 'semi detached'}
 {'Language': 'ES', 'Description': 'semi detached'}
 {'Language': 'DA', 'Description': 'semi detached'}]",8772657556786195824,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
240,"[{'Language': 'NL', 'Description': 'premium property'}
 {'Language': 'NO', 'Description': 'premium property'}
 {'Language': 'FR', 'Description': 'premium property'}
 {'Language': 'DE', 'Description': 'Premium-Grundstück'}
 {'Language': 'EN', 'Description': 'premium property'}
 {'Language': 'SV', 'Description': 'premium property'}
 {'Language': 'IT', 'Description': 'premium property'}
 {'Language': 'ES', 'Description': 'premium property'}
 {'Language': 'DA', 'Description': 'premium property'}]",3964228591648483998,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
250,"[{'Language': 'NL', 'Description': 'top location'}
 {'Language': 'NO', 'Description': 'top location'}
 {'Language': 'FR', 'Description': 'top location'}
 {'Language': 'DE', 'Description': 'Top-Lage'}
 {'Language': 'EN', 'Description': 'top location'}
 {'Language': 'SV', 'Description': 'top location'}
 {'Language': 'IT', 'Description': 'top location'}
 {'Language': 'ES', 'Description': 'top location'}
 {'Language': 'DA', 'Description': 'top location'}]",1759183165160239883,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
330,"[{'Language': 'NL', 'Description': 'Op een boerderij'}
 {'Language': 'NO', 'Description': 'På en gård'}
 {'Language': 'FR', 'Description': 'Dans une ferme'}
 {'Language': 'DE', 'Description': 'Auf einem Bauernhof'}
 {'Language': 'EN', 'Description': 'On a farm'}
 {'Language': 'SV', 'Description': 'På en gård'}
 {'Language': 'IT', 'Description': 'Agriturismo'}
 {'Language': 'ES', 'Description': 'Agroturismo'}
 {'Language': 'DA', 'Description': 'På en gård'}]",-633662916929598009,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
340,"[{'Language': 'NL', 'Description': 'Op boerderij in bedrijf'}
 {'Language': 'NO', 'Description': 'På en bondgård'}
 {'Language': 'FR', 'Description': 'Dans une ferme en activité'}
 {'Language': 'DE', 'Description': 'Auf bewirtschaftetem Bauernhof'}
 {'Language': 'EN', 'Description': 'On a working farm'}
 {'Language': 'SV', 'Description': 'På en bondgård'}
 {'Language': 'IT', 'Description': 'In una fattoria in attivitá'}
 {'Language': 'ES', 'Description': 'Explotación agrícola/ganadera'}
 {'Language': 'DA', 'Description': 'På en bondegård'}]",-3946092481441252569,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
350,"[{'Language': 'NL', 'Description': 'Op een eiland'}
 {'Language': 'NO', 'Description': 'På en øy'}
 {'Language': 'FR', 'Description': 'Sur une île'}
 {'Language': 'DE', 'Description': 'Auf einer Insel'}
 {'Language': 'EN', 'Description': 'On an island'}
 {'Language': 'SV', 'Description': 'På en ö'}
 {'Language': 'IT', 'Description': ""Su un' isola""}
 {'Language': 'ES', 'Description': 'En una isla'}
 {'Language': 'DA', 'Description': 'På en ø'}]",-978380928465117806,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
360,"[{'Language': 'NL', 'Description': 'Landelijk'}
 {'Language': 'NO', 'Description': 'På landsbygda'}
 {'Language': 'FR', 'Description': 'A la campagne'}
 {'Language': 'DE', 'Description': 'Ländlich'}
 {'Language': 'EN', 'Description': 'In the countryside'}
 {'Language': 'SV', 'Description': 'På landsbygden'}
 {'Language': 'IT', 'Description': 'In campagna'}
 {'Language': 'ES', 'Description': 'Rural'}
 {'Language': 'DA', 'Description': 'På landet'}]",8970667165464232689,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
370,"[{'Language': 'NL', 'Description': 'In de bergen > 1000 m.'}
 {'Language': 'NO', 'Description': 'I fjellet > 1000 m'}
 {'Language': 'FR', 'Description': 'Dans les montagnes > 1000 m.'}
 {'Language': 'DE', 'Description': 'In den Bergen > 1000 m.'}
 {'Language': 'EN', 'Description': 'In the mountains > 1000 m.'}
 {'Language': 'SV', 'Description': 'I bergen > 1000 m.'}
 {'Language': 'IT', 'Description': 'In montagna > 1000 m.'}
 {'Language': 'ES', 'Description': 'En la montaña > 1000 m.'}
 {'Language': 'DA', 'Description': 'I bjergene > 1000 m.'}]",6543150744710129607,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
380,"[{'Language': 'NL', 'Description': 'In een woonwijk of centrum (dorp)'}
 {'Language': 'NO', 'Description': 'I et boligområde eller i sentrum (tettsted)'}
 {'Language': 'FR', 'Description': 'Dans un quartier résidentiel ou centre ville (village)'}
 {'Language': 'DE', 'Description': 'In einem Wohngebiet oder im Zentrum (Dorf)'}
 {'Language': 'EN', 'Description': 'In a residential area or in the centre (village)'}
 {'Language': 'SV', 'Description': 'I ett bostadsområde eller i centrum (ort)'}
 {'Language': 'IT', 'Description': 'In una zona residenziale o in centro (cittadina)'}
 {'Language': 'ES', 'Description': 'En barrio residencial o centro (pueblo)'}
 {'Language': 'DA', 'Description': 'I et boligområde eller bydel (landsby)'}]",-3992122683370664798,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
