HOUSE_ID,PROPERTY_COMPANY,FINANCIAL_ENTITY,BOOKING_ID,ORIGINAL_BOOKING_ID,BOOKING_BRAND,CHANNEL_LARS,CHANNEL_TYPE,CHANNEL_TYPE_GROUP,PARTNER_TYPE,PARTNER_CODE,PARTNER_NAME,PARTNER_NAME_GROUP,WEBSITE_ORIGIN,ACCOMMODATION_CODE,HOMEOWNER_ID,BOOKING_STATUS,BOOKING_STATUS_CODE,BOOKING_STATUS_DESCRIPTION,BOOK_DATE_OF_BOOKING,ARRIVAL_DATE,DEPARTURE_DATE,FIRST_INSTALLMENT_PROCESSED_DATE,CANCELLATION_DATE,CANCELLATION_BLAME,CANCELLATION_REASON,CANCELLATION_REASON_DESCRIPTION,RATE_PLAN_CODE,INPT_ACCO_KEY,CANCELLATION_POLICY,LARS_FM_TAG,FLEXIBLE_CANCELLATION,CANCELLATION_REQUEST,CANCELLATION_REQUEST_DATE,SELF_CANCELLATION_ALLOWED,CANCELLED_BY,SALES_CANCEL_COST,PROPERTY_CONTRACT_TYPE,PROPERTY_CONTRACT_TYPE_ACCOUNTING,PROPERTY_COUNTRY_CODE,PROPERTY_COUNTRY_NAME,PROPERTY_COUNTRY_GROUP,PROPERTY_REGION_CODE,PROPERTY_REGION_NAME,BOOKED_PROPERTY_NUMBER_OF_PERSONS,GUEST_ID,RENTAL_AGREEMENT_GUEST_COUNTRY,GUEST_COUNTRY,PARTY_NUMBER_OF_PERSONS,PARTY_NUMBER_OF_ADULTS,PARTY_NUMBER_OF_CHILDREN,PARTY_NUMBER_OF_BABIES,PARTY_NUMBER_OF_PETS,PROPERTY_BRAND,PROPERTY_CONTRACT_SEGMENT,PROPERTY_LOCAL_OFFICE_ID,PROPERTY_LOCAL_OFFICE_NAME,PROPERTY_STATUS,PROPERTY_CREATED_DATE,PROPERTY_CUR_ACTIVE_DATE,PROPERTY_CHURN_DATE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_ACCOMMODATION_TYPE,PROPERTY_ACCO_DESCRIPTION,PROPERTY_NUMBER_OF_PERSONS,PROPERTY_BEDROOM_COUNT,PROPERTY_NUM_ROOMS,CURRENCY,PAYMENT_AT_BOOKING,REVENUE_GROSS_BOOKING_VALUE,REVENUE_SERVICE,REVENUE_CLEANING,REVENUE_BOOKING_FEE,REVENUE_CANCELLATION_INSURANCE,REVENUE_PAYMENT_CHARGES_GUEST,REVENUE_RENT,REVENUE_OTHER,REVENUE_CANCELLATION_FEE,DISCOUNT_RELATION_AND_PROMOTIONAL,DISCOUNT_LAST_MINUTE,DISCOUNT_REBOOKING,DISCOUNT_SURVEY,DISCOUNT_TOTAL_OYO,DISCOUNT_LAST_MINUTE_HOMEOWNER,DISCOUNT_REBOOKING_HOMEOWNER,DISCOUNT_TOTAL_HOMEOWNER,COST_PURCHASE_TOTAL,COST_HOMEOWNER_PAYMENT,COST_INSURANCE,COST_COMMISSION_TOTAL,COST_AFFILIATE_COMMISSION,COST_AGENT_COMMISSION,COST_OTHER,BOOKED_GBV,CANCELLED_GBV,META_SRC_LOAD_TS,META_SRC_NAME
US-07114-01,OYO HOMES US,OHUS,1CBKKHJT,3065316005,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,booking_us,Booking.com (OVH US),OTHER,,US-07114-01,1013466.0,CANCELLED,R-AZV,RESERVATION CANCELLATION,2020-04-20,2020-12-17,2020-12-18,,2020-04-20,Customer,test99,test99,,,,NO,No,No,,No,kanavb,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,NJ,NEW JERSEY,3.0,5036740.0,IN,IN,2.0,2.0,0.0,0.0,0.0,OHUS,FME,,,DP,2019-12-12,2020-01-14,,40.725171,-74.181383,Apartment,Apartment,3.0,2.0,2.0,USD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-46225-02,OYO HOMES US,OHUS,12EQV9US,2336171930,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,booking_us,Booking.com (OVH US),OTHER,,US-46225-02,1011854.0,CANCELLED,R-ANB,CANCELLATION (NO PAYMENT),2020-08-06,2020-08-07,2020-08-09,,2020-08-07,Customer,NoPaymentCancellation,Customer did not make a payment,,,,NO,No,No,,No,system,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,IN,INDIANA,6.0,5181494.0,US,US,4.0,4.0,0.0,0.0,0.0,OHUS,FME,,,D,2020-03-23,2020-03-27,,39.746125,-86.149279,House,Holiday home,6.0,3.0,3.0,USD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,-230.0,2026-01-29 13:40:21.175429+00:00,LARS
US-33542-01,OYO HOMES US,OHUS,1NC553TM,HMWXA2P3DJ,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,airbnb_us,AirBnB for OVH US,OTHER,,US-33542-01,1012235.0,BOOKING,B-STD,BOOKING,2020-04-02,2020-04-04,2020-04-30,2020-04-02,,,,,,,,YES,No,No,,No,,0.0,FMNE,AGENT,US,UNITED STATES,Other,FL,FLORIDA,7.0,5032224.0,US,US,5.0,5.0,0.0,0.0,0.0,OHUS,FMNE,,,DP,2019-12-10,2020-02-13,,28.24782,-82.16388,House,Holiday home,7.0,3.0,3.0,USD,0.0,2578.0,,,30.0,0.0,0.0,2548.0,0.0,,0.0,-1794.0,0.0,0.0,-1794.0,0.0,0.0,0.0,1769.78,1769.78,0.0,374.64,374.64,0.0,0.0,2578.0,0.0,2026-01-29 13:40:21.175429+00:00,LARS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,DE,,,,41.885436,3.17857,Unknown,Apartment,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,W,,2016-02-04,2017-07-11,43.538502,10.635184,House,Farmhouse,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,D,,2025-07-18,,37.193908,-7.387005,Unknown,Apartment,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,W,,2012-12-13,2014-01-31,40.990492,17.091122,House,Holiday home,7.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,,,,,,NI,,,,43.13614,1.31015,Unknown,Holiday home,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,,,,,,DE,,,,48.648064,-2.004722,Unknown,Apartment,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15417,DANLAND,DC,2017-192208,,DL,,CCC,CCC,Courses,,DANLAND KBH BLOKHUS KURSUS/,,,15417,,CANCELLED,,,2017-03-11,2017-03-27,2017-03-28,2017-03-11,2017-04-29,,,,,,,,,,,,,,Park,PRINCIPAL,DK,Denmark,,,BLOKHUS,0.0,,,DK,0.0,,,,,,Agency Park,,,,,,,,,,,,,,EUR,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,78.73,-78.73,2026-01-29 13:40:21.175429+00:00,AS400
