ACCOMMODATION_CODE,ACCOMMODATION_NAME,ACCOMMODATION_TYPE,ACCOMMODATION_TYPE_NEW,ACCOMMODATION_STATUS_CODE,ACCOMMODATION_CHANNEL,ACCOMMODATION_COUNTRY,ACCOMMODATION_REGION,ACCOMMODATION_CITY,ACCOMMODATION_ZIPCODE,ACCOMMODATION_LATITUDE,ACCOMMODATION_LONGITUDE,ACCOMMODATION_NUMBER_OF_PERSONS,ACCOMMODATION_NUMBER_OF_PETS,ACCOMMODATION_SIZE,CONTRACT_TYPE,CONTRACT_DATE,PLANNING_CODES,BOOKINGCOM_ID,AIRBNB_ID,HOMEAWAY_ID,EXPEDIA_ID,ACCOMMODATION_REVIEW_SCORE,OWNER_ID,OWNER_TYPE,OWNER_COMPANY_NAME,HOMEOWNER_CREATION_DATE,OWNER_LANGUAGE_CODE,OWNER_COUNTRY_CODE,OWNER_CITY,OWNER_ZIPCODE,OWNER_WEBSITE
DOS08152-F,,Holiday home,Holiday home,W,,Germany,,Karlshagen,17449,54.11394,13.83256,2,0,80.0,Net,,DOS08152-F-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08153-CYA,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08153-CYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08153-CYB,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08153-CYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08153-DYC,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08153-DYC-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08154-DYA,,Holiday home,Holiday home,W,,Germany,,Bansin,17429,53.968123,14.137603,2,0,80.0,Net,,DOS08154-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08155-DYA,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08155-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08155-DYB,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08155-DYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08156-DYA,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08156-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08156-EYB,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08156-EYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08157-CYB,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08157-CYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08157-DYA,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08157-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08157-SYC,,Holiday home,Holiday home,W,,Germany,,Rankwitz,17406,53.94627,13.926457,2,0,80.0,Net,,DOS08157-SYC-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08159-DYA,,Holiday home,Holiday home,W,,Germany,,Heringsdorf,0,53.957355,14.15416,2,0,80.0,Net,,DOS08159-DYA-01,,,2963882.0,,,55,Local Office,,,DE,DE,,,
DOS08160-CYA,,Holiday home,Holiday home,W,,Germany,,Heringsdorf,0,53.957355,14.15416,2,0,80.0,Net,,DOS08160-CYA-01,,,2963888.0,,,55,Local Office,,,DE,DE,,,
DOS08161-F,Kranichnest,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Zirchow,17419,53.874338,14.143816,6,0,84.0,Gross,2024-06-18,DOS08161-F-01,,"48112389,1842823",5307303.0,,8.7,1046684,Private Homeowner,,2021-09-24,DE,DE,Eydelstedt,49406,
DOS08163-F,,Holiday home,Holiday home,W,,Germany,,Zinnowitz,17454,54.075441,13.908474,2,0,80.0,Net,,DOS08163-F-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08164-L,DHH Bernsteinhaus rechts,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095702,13.877631,6,0,105.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-06-06,DOS08164-L-01,,"48112391,1842824",2963900.0,,8.6,1046785,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08165-CYA,,Holiday home,Holiday home,W,,Germany,,Zinnowitz,17454,54.075441,13.908474,2,0,80.0,Net,,DOS08165-CYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08166-L,,Holiday home,Holiday home,W,,Germany,,Zirchow,17419,53.888933,14.137875,2,0,80.0,Net,,DOS08166-L-01,,,2963905.0,,,55,Local Office,,,DE,DE,,,
DOS08167-L,DHH 2 Haus Steuerbord,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Zirchow,17419,53.873307,14.143151,5,0,67.0,Gross,,DOS08167-L-01,"4468167,446816702,13512135",,2963911.0,,8.5,1046793,Private Homeowner,,2021-09-24,DE,DE,Hamburg,21037,
DOS08168-FYA,,Holiday home,Holiday home,W,,Germany,,Peenemünde,0,54.136713,13.774776,2,0,80.0,Net,,DOS08168-FYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08168-FYB,,Holiday home,Holiday home,W,,Germany,,Peenemünde,0,54.136713,13.774776,2,0,80.0,Net,,DOS08168-FYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08170-FYA,,Holiday home,Holiday home,W,,Germany,,Peenemünde,0,54.136713,13.774776,2,0,80.0,Net,,DOS08170-FYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08170-FYB,,Holiday home,Holiday home,W,,Germany,,Peenemünde,0,54.136713,13.774776,2,0,80.0,Net,,DOS08170-FYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08171-B,Ferienhaus in Zinnowitz,Bungalow,Bungalow,D,,Germany,Baltic Sea Region,Zinnowitz,17454,54.079521,13.897351,4,0,50.0,Gross,2024-06-11,DOS08171-B-01,"4467820,446782002,13512139","48112397,1842826",2963917.0,,7.6,1046889,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08172-F,,Holiday home,Holiday home,W,,Germany,,Krummin,0,54.048099,13.845458,2,0,80.0,Net,,DOS08172-F-01,,,2963923.0,,,55,Local Office,,,DE,DE,,,
DOS08173-L,DHH Haffperle,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Zirchow,17419,53.873337,14.143207,5,0,67.0,Net,,DOS08173-L-01,"4468168,446816802,13512142",,2963930.0,,,1047090,Private Homeowner,,2021-09-24,DE,DE,Grimmen,18507,
DOS08174-F,,Holiday home,Holiday home,W,,Germany,,Karlshagen,17449,54.11394,13.83256,2,0,80.0,Net,,DOS08174-F-01,,,2963934.0,,,55,Local Office,,,DE,DE,,,
DOS08175-L,Haffmuschel Vermieter Müller,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Zirchow,17419,53.8735,14.1434,5,0,67.0,Net,,DOS08175-L-01,"7876193,787619302,24291619",,2963940.0,,,1047093,,,2021-09-24,DE,DE,Grimmen,18507,
DOS08176-FYA,Bungalow B2,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,4,0,65.0,Net,2024-07-10,DOS08176-FYA-01,,"48112419,1842829",2963945.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08176-FYB,,Holiday home,Holiday home,W,,Germany,,Zinnowitz,17454,54.075441,13.908474,2,0,80.0,Net,,DOS08176-FYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08176-FYC,Bungalow B3,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,32.0,Net,2024-07-10,DOS08176-FYC-01,,"1223074234523359655,1223074234523359655",2963951.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08176-FYD,Bungalow B4,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,32.0,Net,2024-07-10,DOS08176-FYD-01,,"1259917355263902437,1259917355263902437",5504482.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08177-CYB,OG Whg 9 rechts,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.07702,13.902114,2,0,50.0,Net,2024-07-10,DOS08177-CYB-01,,"48112432,1842832",2963963.0,,8.6,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08177-CYC,OG Whg 7 links,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,50.0,Net,2024-07-10,DOS08177-CYC-01,,"48112437,1842833",5384449.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08177-CYD,EG Whg 6 rechts,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,60.0,Net,2024-07-10,DOS08177-CYD-01,,"1259917223144874207,1259917223144874207",2963970.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08177-CYE,EG Whg 5 links,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,60.0,Net,2023-07-17,DOS08177-CYE-01,"4716054,471605402,14013143","48112440,1842835",2998503.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08177-SYA,Studio im OG,Apartment,Apartment,DP,AH,Germany,Mecklenburg Western Pomerania,Zinnowitz,17454,54.076857,13.902772,2,0,30.0,Net,,DOS08177-SYA-01,"7822922,782292202,24093450","48112441,1842836",2963976.0,,8.7,1047091,Private Homeowner,,2021-09-24,DE,DE,Zinnowitz,17454,
DOS08178-F,Blockhaus,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.105358,13.843794,7,0,115.0,Gross,2024-07-02,DOS08178-F-01,"4467823,446782302,13512146","48112442,1842837",2963983.0,,8.6,1047117,,,2021-09-24,DE,DE,Arnstadt,99310,www.naturstamm-ferienhaus.de
DOS08179-P,,Holiday home,Holiday home,W,,Germany,,Zinnowitz,17454,54.075441,13.908474,2,0,80.0,Net,,DOS08179-P-01,,,,,,55,Local Office,,,DE,DE,,,
DOS09004-F,,Holiday home,Holiday home,W,,Germany,,Grambin,0,53.755665,14.015291,2,0,80.0,Net,,DOS09004-F-01,,,2963989.0,,,55,Local Office,,,DE,DE,,,
DOS09005-BYA,,Holiday home,Holiday home,W,,Germany,,Freest,17440,27.805326,-82.726074,2,0,80.0,Net,,DOS09005-BYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS09005-FYB,,Holiday home,Holiday home,W,,Germany,,Freest,17440,27.805326,-82.726074,2,0,80.0,Net,,DOS09005-FYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS09010-B,Bungalow Thurow,Bungalow,Bungalow,D,,Germany,Mecklenburg Western Pomerania,Freest,17440,54.133293,13.727891,3,1,26.0,Net,2024-06-26,DOS09010-B-01,,"48112443,1842838",5307216.0,,8.6,1049944,Private Homeowner,,2021-09-24,DE,DE,Freest,17440,
DOS09014-B,,Holiday home,Holiday home,W,,Germany,,Freest,17440,27.805326,-82.726074,2,0,80.0,Net,,DOS09014-B-01,,,,,,55,Local Office,,,DE,DE,,,
DOS09015-F,,Holiday home,Holiday home,W,,Germany,,Freest,17440,27.805326,-82.726074,2,0,80.0,Net,,DOS09015-F-01,,,2983140.0,,,55,Local Office,,,DE,DE,,,
DOS09015-FYA,FH Schöttke 2 Personen,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Freest,17440,54.137323,13.723836,2,0,60.0,Net,2024-05-07,DOS09015-FYA-01,"6801142,680114202,19828006",,5077205.0,,9.3,1044660,Private Homeowner,,2021-09-24,DE,DE,Freest,17440,
DOS09015-FYB,FH Schöttke 3 Pers,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Freest,17440,54.137323,13.723836,3,0,60.0,Net,2024-05-08,DOS09015-FYA-01,"6801142,680114203,35040125",,5077206.0,,8.5,1044660,Private Homeowner,,2021-09-24,DE,DE,Freest,17440,
DOS09015-FYC,FH Schöttke 4 Pers,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Freest,17440,54.137323,13.723836,4,0,60.0,Net,2024-05-08,DOS09015-FYA-01,,,5077207.0,,8.8,1044660,Private Homeowner,,2021-09-24,DE,DE,Freest,17440,
DOS09021-F,Ferienhaus Stolzenburg,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Katzow,17509,54.046378,13.681072,4,0,56.0,Net,2023-07-07,DOS09021-F-01,"4467825,446782502,13512149",,2964002.0,,8.6,1044770,Private Homeowner,,2021-09-24,DE,DE,Katzow,17509,
DOS09022-P,,Holiday home,Holiday home,W,,Germany,,Lubmin,17509,54.134565,13.617597,2,0,80.0,Net,,DOS09022-P-01,,,2964005.0,,,55,Local Office,,,DE,DE,,,
DOS09026-CYB,"2-Raum-App 53 qm Whg 1 5-2-Raum-App., 53 qm, Whg. 1, 5",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Greifswald-Ladebow,17493,54.10151,13.43689,4,0,53.0,Gross,,DOS09026-CYB-01,"4716057,471605702,14013150",,2964011.0,,9.0,1046019,Private Homeowner,,2021-09-24,DE,DE,Greifswald,17493,www.landmesser.info
DOS09026-DYC,"3-Raum-App 51 qm Whg 4-3-Raum-App., 51 qm, Whg. 4",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Greifswald-Ladebow,17493,54.10151,13.43689,5,0,51.0,Gross,,DOS09026-DYC-01,"4716060,471606002,14013152",,2964020.0,,8.9,1046019,Private Homeowner,,2021-09-24,DE,DE,Greifswald,17493,www.landmesser.info
DOS09026-EYD,"max 10 Pers 120 qm-max. 10 Pers., 120 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Greifswald-Ladebow,17493,54.10151,13.43689,10,0,120.0,Gross,,DOS09026-EYD-01,"4716059,471605902,14013154",,2964027.0,,9.0,1046019,Private Homeowner,,2021-09-24,DE,DE,Greifswald,17493,www.landmesser.info
DOS09026-SYA,"Studio 23 qm Whg 2 3 6-Studio, 23 qm, Whg. 2, 3, 6",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Greifswald-Ladebow,17493,54.10151,13.43689,2,0,23.0,Gross,,DOS09026-SYA-01,"4716062,471606202,14013159",,2964034.0,,8.6,1046019,Private Homeowner,,2021-09-24,DE,DE,Greifswald,17493,www.landmesser.info
DOS09034-P,,Holiday home,Holiday home,W,,Germany,,Oberhinrichshagen,0,54.224776,13.224815,2,0,80.0,Net,,DOS09034-P-01,,,2964043.0,,,55,Local Office,,,DE,DE,,,
DOS09038-B,,Holiday home,Holiday home,W,,Germany,,Bellin,17373,44.502182,-88.011694,2,0,80.0,Net,,DOS09038-B-01,,,2964049.0,,,55,Local Office,,,DE,DE,,,
DOS09040-F,Ferienhaus Stolzenburg,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Wolgast,17438,54.02981,13.72599,4,0,62.0,Gross,2022-08-08,DOS09040-F-01,"4467829,446782902,13512154",,2964053.0,,8.5,1045014,Private Homeowner,,2021-09-24,DE,DE,Wolgast OT Hohendorf,17438,
DOS09041-P,"Holiday flat, Vogelsang-Warsin-Ferienwohnung Simon im OG",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Vogelsang-Warsin,17375,53.725983,14.164062,3,0,54.0,Net,,DOS09041-P-01,"4467831,446783102,13512155",,2964059.0,,8.8,1045029,,,2021-09-24,DE,DE,Vogelsang - Warsin,17375,
DOS09051-F,,Holiday home,Holiday home,W,,Germany,,Freest,17440,27.805326,-82.726074,2,0,80.0,Net,,DOS09051-F-01,,,2964067.0,,,55,Local Office,,,DE,DE,,,
DOS09052-CYA,,Holiday home,Holiday home,W,,Germany,,Loissin,0,54.112371,13.528129,2,0,80.0,Net,,DOS09052-CYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS09054-CYC,"2-Raum-App Typ Kamigkrug-Landblick 45 qm-2-Raum-App. Typ Kamigkrug-Landblick, 45 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Ueckermünde,17373,53.74802,14.06539,4,0,45.0,Net,,DOS09054-CYC-01 - DOS09054-CYC-02 - DOS09054-CYC-03 - DOS09054-CYC-04 - DOS09054-CYC-05 - DOS09054-CYC-06 - DOS09054-CYC-07 - DOS09054-CYC-08 - DOS09054-CYC-09 - DOS09054-CYC-10 - DOS09054-CYC-11 - DOS09054-CYC-12 - DOS09054-CYC-13 - DOS09054-CYC-14 - DOS09054-CYC-15 - DOS09054-CYC-16 - DOS09054-CYC-17 - DOS09054-CYC-18 - DOS09054-CYC-19 - DOS09054-CYC-20 - DOS09054-CYC-21 - DOS09054-CYC-22 - DOS09054-CYC-23 - DOS09054-CYC-24 - DOS09054-CYC-25 - DOS09054-CYC-26 - DOS09054-CYC-27 - DOS09054-CYC-28 - DOS09054-CYC-29 - DOS09054-CYC-30 - DOS09054-CYC-31 - DOS09054-CYC-32 - DOS09054-CYC-33 - DOS09054-CYC-34 - DOS09054-CYC-35 - DOS09054-CYC-36 - DOS09054-CYC-37 - DOS09054-CYC-38 - DOS09054-CYC-39 - DOS09054-CYC-40 - DOS09054-CYC-41 - DOS09054-CYC-42 - DOS09054-CYC-43 - DOS09054-CYC-44 - DOS09054-CYC-45 - DOS09054-CYC-46 - DOS09054-CYC-47 - DOS09054-CYC-48 - DOS09054-CYC-49 - DOS09054-CYC-50 - DOS09054-CYC-51 - DOS09054-CYC-52 - DOS09054-CYC-53 - DOS09054-CYC-54 - DOS09054-CYC-55 - DOS09054-CYC-56 - DOS09054-CYC-57 - DOS09054-CYC-58 - DOS09054-CYC-59 - DOS09054-CYC-60 - DOS09054-CYC-61 - DOS09054-CYC-62 - DOS09054-CYC-63 - DOS09054-CYC-64 - DOS09054-CYC-65 - DOS09054-CYC-66 - DOS09054-CYC-67 - DOS09054-CYC-68 - DOS09054-CYC-69 - DOS09054-CYC-70 - DOS09054-CYC-71 - DOS09054-CYC-72 - DOS09054-CYC-73 - DOS09054-CYC-74 - DOS09054-CYC-75 - DOS09054-CYC-76 - DOS09054-CYC-77 - DOS09054-CYC-78 - DOS09054-CYC-79 - DOS09054-CYC-80 - DOS09054-CYC-81 - DOS09054-CYC-82 - DOS09054-CYC-83 - DOS09054-CYC-84 - DOS09054-CYC-85 - DOS09054-CYC-86 - DOS09054-CYC-87 - DOS09054-CYC-88 - DOS09054-CYC-89 - DOS09054-CYC-90 - DOS09054-CYC-91 - DOS09054-CYC-92 - DOS09054-CYC-93 - DOS09054-CYC-94 - DOS09054-CYC-95 - DOS09054-CYC-96 - DOS09054-CYC-97 - DOS09054-CYC-98 - DOS09054-CYC-99,"4716061,471606102,14013171",,2964069.0,,8.5,1045165,,,2021-09-24,DE,DE,Ueckermünde,17373,
DOS09054-CYD,"2-Raum-App Typ Binsenkamp-Hafenblick 45 qm-2-Raum-App. Typ Binsenkamp-Hafenblick, 45 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Ueckermünde,17373,53.74802,14.06539,4,0,45.0,Net,,DOS09054-CYD-01 - DOS09054-CYD-02 - DOS09054-CYD-03 - DOS09054-CYD-04 - DOS09054-CYD-05 - DOS09054-CYD-06 - DOS09054-CYD-07 - DOS09054-CYD-08 - DOS09054-CYD-09 - DOS09054-CYD-10 - DOS09054-CYD-11 - DOS09054-CYD-12 - DOS09054-CYD-13 - DOS09054-CYD-14 - DOS09054-CYD-15 - DOS09054-CYD-16 - DOS09054-CYD-17 - DOS09054-CYD-18 - DOS09054-CYD-19 - DOS09054-CYD-20 - DOS09054-CYD-21 - DOS09054-CYD-22 - DOS09054-CYD-23 - DOS09054-CYD-24 - DOS09054-CYD-25 - DOS09054-CYD-26 - DOS09054-CYD-27 - DOS09054-CYD-28 - DOS09054-CYD-29 - DOS09054-CYD-30 - DOS09054-CYD-31 - DOS09054-CYD-32 - DOS09054-CYD-33 - DOS09054-CYD-34 - DOS09054-CYD-35 - DOS09054-CYD-36 - DOS09054-CYD-37 - DOS09054-CYD-38 - DOS09054-CYD-39 - DOS09054-CYD-40 - DOS09054-CYD-41 - DOS09054-CYD-42 - DOS09054-CYD-43 - DOS09054-CYD-44 - DOS09054-CYD-45 - DOS09054-CYD-46 - DOS09054-CYD-47 - DOS09054-CYD-48 - DOS09054-CYD-49 - DOS09054-CYD-50 - DOS09054-CYD-51 - DOS09054-CYD-52 - DOS09054-CYD-53 - DOS09054-CYD-54 - DOS09054-CYD-55 - DOS09054-CYD-56 - DOS09054-CYD-57 - DOS09054-CYD-58 - DOS09054-CYD-59 - DOS09054-CYD-60 - DOS09054-CYD-61 - DOS09054-CYD-62 - DOS09054-CYD-63 - DOS09054-CYD-64 - DOS09054-CYD-65 - DOS09054-CYD-66 - DOS09054-CYD-67 - DOS09054-CYD-68 - DOS09054-CYD-69 - DOS09054-CYD-70 - DOS09054-CYD-71 - DOS09054-CYD-72 - DOS09054-CYD-73 - DOS09054-CYD-74 - DOS09054-CYD-75 - DOS09054-CYD-76 - DOS09054-CYD-77 - DOS09054-CYD-78 - DOS09054-CYD-79 - DOS09054-CYD-80 - DOS09054-CYD-81 - DOS09054-CYD-82 - DOS09054-CYD-83 - DOS09054-CYD-84 - DOS09054-CYD-85 - DOS09054-CYD-86 - DOS09054-CYD-87 - DOS09054-CYD-88 - DOS09054-CYD-89 - DOS09054-CYD-90 - DOS09054-CYD-91 - DOS09054-CYD-92 - DOS09054-CYD-93 - DOS09054-CYD-94 - DOS09054-CYD-95 - DOS09054-CYD-96 - DOS09054-CYD-97 - DOS09054-CYD-98 - DOS09054-CYD-99,"4716064,471606402,14013175",,2964077.0,,9.0,1045165,,,2021-09-24,DE,DE,Ueckermünde,17373,
DOS09054-DYB,"3-Raum-App Typ Muschelgrund-Hafenblick 60 qm-3-Raum-App. Typ Muschelgrund-Hafenblick, 60 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Ueckermünde,17373,53.74802,14.06539,6,0,60.0,Net,,DOS09054-DYB-01 - DOS09054-DYB-02 - DOS09054-DYB-03 - DOS09054-DYB-04 - DOS09054-DYB-05 - DOS09054-DYB-06 - DOS09054-DYB-07 - DOS09054-DYB-08 - DOS09054-DYB-09 - DOS09054-DYB-10 - DOS09054-DYB-11 - DOS09054-DYB-12 - DOS09054-DYB-13 - DOS09054-DYB-14 - DOS09054-DYB-15 - DOS09054-DYB-16 - DOS09054-DYB-17 - DOS09054-DYB-18 - DOS09054-DYB-19 - DOS09054-DYB-20 - DOS09054-DYB-21 - DOS09054-DYB-22 - DOS09054-DYB-23 - DOS09054-DYB-24 - DOS09054-DYB-25 - DOS09054-DYB-26 - DOS09054-DYB-27 - DOS09054-DYB-28 - DOS09054-DYB-29 - DOS09054-DYB-30 - DOS09054-DYB-31 - DOS09054-DYB-32 - DOS09054-DYB-33 - DOS09054-DYB-34 - DOS09054-DYB-35 - DOS09054-DYB-36 - DOS09054-DYB-37 - DOS09054-DYB-38 - DOS09054-DYB-39 - DOS09054-DYB-40 - DOS09054-DYB-41 - DOS09054-DYB-42 - DOS09054-DYB-43 - DOS09054-DYB-44 - DOS09054-DYB-45 - DOS09054-DYB-46 - DOS09054-DYB-47 - DOS09054-DYB-48 - DOS09054-DYB-49 - DOS09054-DYB-50 - DOS09054-DYB-51 - DOS09054-DYB-52 - DOS09054-DYB-53 - DOS09054-DYB-54 - DOS09054-DYB-55 - DOS09054-DYB-56 - DOS09054-DYB-57 - DOS09054-DYB-58 - DOS09054-DYB-59 - DOS09054-DYB-60 - DOS09054-DYB-61 - DOS09054-DYB-62 - DOS09054-DYB-63 - DOS09054-DYB-64 - DOS09054-DYB-65 - DOS09054-DYB-66 - DOS09054-DYB-67 - DOS09054-DYB-68 - DOS09054-DYB-69 - DOS09054-DYB-70 - DOS09054-DYB-71 - DOS09054-DYB-72 - DOS09054-DYB-73 - DOS09054-DYB-74 - DOS09054-DYB-75 - DOS09054-DYB-76 - DOS09054-DYB-77 - DOS09054-DYB-78 - DOS09054-DYB-79 - DOS09054-DYB-80 - DOS09054-DYB-81 - DOS09054-DYB-82 - DOS09054-DYB-83 - DOS09054-DYB-84 - DOS09054-DYB-85 - DOS09054-DYB-86 - DOS09054-DYB-87 - DOS09054-DYB-88 - DOS09054-DYB-89 - DOS09054-DYB-90 - DOS09054-DYB-91 - DOS09054-DYB-92 - DOS09054-DYB-93 - DOS09054-DYB-94 - DOS09054-DYB-95 - DOS09054-DYB-96 - DOS09054-DYB-97 - DOS09054-DYB-98 - DOS09054-DYB-99,"4716066,471606602,14013178",,2964084.0,,9.0,1045165,,,2021-09-24,DE,DE,Ueckermünde,17373,
